130631190002140071,张三,"河北省,保定市,望都县",19000214
44190019971024031X,李四,"广东省,东莞市",19971024
441881202011116667,王五,"广东省,清远市,英德市",20201111
130209192705264310,风清扬,"河北省,唐山市,曹妃甸区",19270526
140926193309253012,慕容复,"山西省,忻州市,静乐县",19330925
141022197702022098,虚竹,"山西省,临汾市,翼城县",19770202
150223200002292137,martin,"内蒙古自治区,包头市,达尔罕茂明安联合旗",20000229
210106999903040011,段誉,"辽宁省,沈阳市,铁西区",99990304
210505197503210043,李秋水,"辽宁省,本溪市,南芬区",19750321
210700197404060026,李沧海,"辽宁省,锦州市",19740406
210902197107210992,无崖子,"辽宁省,阜新市,海州区",19710721
310117192507121990,郭靖,"上海市,松江区",19250712
140106199903310217,小龙女,"山西省,太原市,迎泽区",19990331
320206199809230041,杨过,"江苏省,无锡市,惠山区",19980923
320206299907051985,杨逍,"江苏省,无锡市,惠山区",29990705
421122321011121976,韦一笑,"湖北省,黄冈市,红安县",32101112
